,Name,Followers,Following,number_Of_Songs,Info
0,frrb,744,68,25,Portugal-Pro Unlimited-
1,nekoi    ,"2,610",70,15,"vancouver, canada-Pro Unlimited-"
2,kudasai    ,47K,49,86,Pro Unlimited-
3,idealism    ,55.9K,496,27,Finland-Pro Unlimited-
4,Palmasur,9,0,43,-
5,Kyoshin,297,120,11,somewhere only we know--
6,wrongnumber,482,35,45,"Narayangopal Chowk, Nepal-Pro Unlimited-"
7,Iam6teen    ,"1,612",229,104,"Vuyo Marah-Johannesburg, South Africa-Pro Unlimited-"
8,cxld blxxd,"2,524",416,42,"beatmaker / producer-Paris, France--"
9,Tenno    ,"2,564",37,55,Dream Realm--
